,emg,time
0,1497,16390
1,1498,16395
2,1498,16400
3,1497,16404
4,1497,16409
5,1498,16414
6,1499,16419
7,1498,16423
8,1498,16429
9,1499,16434
10,1499,16439
11,1498,16444
12,1497,16448
13,1497,16453
14,1497,16458
15,1497,16463
16,1496,16467
17,1496,16473
18,1496,16478
19,1493,16483
20,1490,16487
21,1490,16492
22,1491,16497
23,1490,16502
24,1489,16506
25,1489,16512
26,1490,16517
27,1489,16522
28,1487,16527
29,1487,16531
30,1488,16536
31,1487,16541
32,1486,16546
33,1486,16550
34,1487,16556
35,1487,16561
36,1485,16566
37,1486,16570
38,1488,16575
39,1489,16580
40,1488,16585
41,1489,16590
42,1490,16594
43,1491,16600
44,1491,16605
45,1491,16610
46,1493,16614
47,1494,16619
48,1494,16624
49,1494,16629
50,1494,16633
51,1494,16638
52,1493,16644
53,1492,16649
54,1494,16653
55,1496,16658
56,1496,16663
57,1496,16668
58,1498,16673
59,1499,16677
60,1500,16683
61,1499,16688
62,1498,16693
63,1498,16697
64,1497,16702
65,1496,16707
66,1497,16712
67,1497,16716
68,1496,16721
69,1496,16727
70,1497,16732
71,1498,16737
72,1498,16741
73,1497,16746
74,1497,16751
75,1498,16756
76,1497,16760
77,1496,16765
78,1496,16771
79,1496,16776
80,1496,16780
81,1496,16785
82,1496,16790
83,1498,16795
84,1497,16799
85,1495,16804
86,1494,16809
87,1496,16815
88,1498,16820
89,1497,16824
90,1497,16829
91,1497,16834
92,1497,16839
93,1496,16843
94,1496,16848
95,1497,16854
96,1497,16859
97,1496,16863
98,1495,16868
99,1495,16873
100,1494,16878
101,1493,16883
102,1492,16887
103,1493,16892
104,1493,16898
105,1494,16903
106,1492,16907
107,1493,16912
108,1494,16917
109,1495,16922
110,1495,16926
111,1496,16931
112,1497,16936
113,1498,16942
114,1497,16946
115,1497,16951
116,1499,16956
117,1499,16961
118,1498,16966
119,1499,16970
120,1502,16975
121,1505,16980
122,1506,16986
123,1508,16990
124,1509,16995
125,1506,17000
126,1500,17005
127,1493,17009
128,1489,17014
129,1486,17019
130,1484,17025
131,1483,17030
132,1485,17034
133,1486,17039
134,1487,17044
135,1489,17049
136,1491,17053
137,1492,17058
138,1493,17063
139,1493,17069
140,1495,17073
141,1496,17078
142,1496,17083
143,1495,17088
144,1496,17092
145,1497,17097
146,1497,17102
147,1496,17107
148,1497,17113
149,1498,17117
150,1497,17122
151,1495,17127
152,1496,17132
153,1497,17136
154,1497,17141
155,1495,17146
156,1495,17152
157,1496,17156
158,1495,17161
159,1493,17166
160,1493,17171
161,1493,17176
162,1493,17180
163,1491,17185
164,1491,17190
165,1492,17196
166,1491,17200
167,1489,17205
168,1489,17210
169,1490,17215
170,1488,17219
171,1485,17224
172,1484,17229
173,1484,17234
174,1483,17239
175,1483,17244
176,1482,17249
177,1483,17254
178,1483,17259
179,1483,17263
180,1483,17268
181,1485,17273
182,1486,17278
183,1486,17283
184,1485,17288
185,1487,17293
186,1489,17298
187,1489,17302
188,1489,17307
189,1490,17312
190,1490,17317
191,1490,17323
192,1489,17327
193,1491,17332
194,1493,17337
195,1494,17342
196,1495,17346
197,1496,17351
198,1497,17356
199,1497,17361
200,1496,17366
201,1498,17371
202,1499,17376
203,1498,17381
204,1498,17385
205,1498,17390
206,1498,17395
207,1498,17400
208,1497,17405
209,1497,17410
210,1498,17415
211,1499,17420
212,1497,17425
213,1497,17429
214,1497,17434
215,1497,17439
216,1495,17444
217,1495,17448
218,1496,17454
219,1496,17459
