,emg,time
0,1512,13905
1,1516,13911
2,1515,13915
3,1512,13920
4,1514,13925
5,1515,13930
6,1511,13934
7,1508,13939
8,1504,13944
9,1502,13949
10,1504,13955
11,1507,13959
12,1508,13964
13,1511,13969
14,1510,13974
15,1507,13978
16,1507,13983
17,1509,13988
18,1510,13993
19,1510,13998
20,1502,14003
21,1502,14008
22,1501,14013
23,1497,14018
24,1494,14022
25,1496,14027
26,1498,14032
27,1500,14038
28,1499,14042
29,1501,14047
30,1504,14052
31,1505,14057
32,1505,14061
33,1504,14066
34,1503,14071
35,1503,14076
36,1502,14081
37,1502,14086
38,1504,14091
39,1507,14096
40,1508,14101
41,1508,14105
42,1506,14110
43,1505,14115
44,1508,14120
45,1507,14125
46,1507,14130
47,1507,14135
48,1507,14140
49,1505,14144
50,1505,14149
51,1506,14154
52,1508,14159
53,1506,14164
54,1504,14169
55,1503,14174
56,1501,14179
57,1499,14184
58,1498,14188
59,1498,14193
60,1500,14198
61,1500,14203
62,1501,14208
63,1505,14213
64,1505,14218
65,1506,14223
66,1509,14227
67,1512,14232
68,1515,14237
69,1517,14242
70,1521,14247
71,1525,14252
72,1527,14257
73,1526,14262
74,1521,14267
75,1514,14271
76,1508,14276
77,1502,14281
78,1496,14286
79,1499,14290
80,1501,14296
81,1504,14301
82,1511,14306
83,1513,14311
84,1515,14315
85,1516,14320
86,1514,14325
87,1510,14330
88,1511,14334
89,1513,14340
90,1512,14345
91,1508,14350
92,1508,14354
93,1507,14359
94,1506,14364
95,1504,14369
96,1500,14373
97,1498,14379
98,1501,14384
99,1503,14389
100,1504,14394
101,1502,14398
102,1499,14403
103,1497,14408
104,1496,14413
105,1494,14417
106,1495,14423
107,1495,14428
108,1496,14433
109,1497,14437
110,1498,14442
111,1498,14447
112,1498,14452
113,1498,14457
114,1497,14461
115,1494,14467
116,1494,14472
117,1495,14477
118,1494,14481
119,1492,14486
120,1489,14491
121,1490,14496
122,1487,14500
123,1486,14505
124,1488,14511
125,1491,14516
126,1492,14520
127,1492,14525
128,1495,14530
129,1497,14535
130,1498,14540
131,1498,14544
132,1497,14550
133,1499,14555
134,1498,14560
135,1493,14564
136,1492,14569
137,1492,14574
138,1492,14579
139,1492,14583
140,1493,14588
141,1498,14594
142,1501,14599
143,1502,14604
144,1504,14608
145,1506,14613
146,1507,14618
147,1505,14623
148,1497,14627
149,1491,14632
150,1490,14638
151,1493,14643
152,1497,14647
153,1501,14652
154,1499,14657
155,1496,14662
156,1492,14666
157,1493,14671
158,1495,14676
159,1495,14682
160,1494,14687
161,1496,14691
162,1497,14696
163,1501,14701
164,1502,14706
165,1506,14710
166,1508,14715
167,1505,14721
168,1502,14726
169,1504,14730
170,1509,14735
171,1506,14740
172,1502,14745
173,1503,14750
174,1505,14754
175,1508,14759
176,1509,14765
177,1509,14770
178,1509,14774
179,1505,14779
180,1505,14784
181,1508,14789
182,1508,14793
183,1504,14798
184,1500,14803
185,1502,14809
186,1504,14813
187,1505,14818
188,1503,14823
189,1484,14828
190,1468,14833
191,1457,14837
192,1455,14842
193,1468,14848
194,1484,14853
195,1497,14857
196,1503,14862
197,1509,14867
198,1515,14872
199,1520,14876
200,1520,14881
201,1519,14886
202,1521,14892
203,1525,14897
204,1526,14901
205,1519,14906
206,1513,14911
207,1511,14916
208,1510,14920
209,1505,14925
210,1503,14930
211,1504,14936
212,1503,14940
213,1502,14945
214,1501,14950
215,1500,14955
216,1500,14959
217,1502,14964
218,1502,14969
219,1501,14974
220,1501,14980
221,1501,14984
222,1492,14989
223,1414,14994
224,1411,14999
225,1414,15003
226,1421,15008
227,1427,15013
228,1430,15019
229,1431,15023
230,1436,15028
231,1444,15033
232,1452,15038
233,1461,15043
234,1470,15047
235,1478,15052
236,1481,15057
237,1480,15063
238,1476,15067
239,1473,15072
240,1471,15077
241,1471,15082
242,1469,15086
243,1471,15091
244,1476,15096
245,1482,15101
246,1485,15106
247,1492,15111
248,1499,15116
249,1500,15121
250,1501,15126
251,1501,15130
252,1501,15135
253,1507,15140
254,1510,15145
255,1515,15150
256,1520,15155
257,1521,15160
258,1520,15165
259,1521,15169
260,1520,15174
261,1517,15179
262,1515,15184
263,1518,15190
264,1522,15194
265,1528,15199
266,1527,15204
267,1527,15209
268,1528,15213
269,1529,15218
270,1529,15223
271,1525,15228
272,1521,15233
273,1523,15238
274,1525,15243
275,1524,15248
276,1520,15252
